,Feature,W,Scaled
3041,PF3D7_1104700.1,1.1545228958129883,0.18188477
589,PF3D7_0312200,1.1545228958129883,0.18188477
2301,PF3D7_0907300,1.1545226573944092,0.18179321
5502,PF3D7_1476200,1.154522180557251,0.18157959
1273,PF3D7_0532600,1.1545220613479614,0.18154907
5162,PF3D7_1442200,1.1545220613479614,0.18154907
462,PF3D7_0222600,1.1545219421386719,0.18148804
1205,PF3D7_0525400,1.1545219421386719,0.18148804
503,PF3D7_0303700,1.1545217037200928,0.18139648
1441,PF3D7_0617000,1.1545215845108032,0.18136597
2504,PF3D7_0927700,1.1545214653015137,0.18130493
3990,PF3D7_1250600,1.1545214653015137,0.18130493
3933,PF3D7_1244900,1.1545212268829346,0.18121338
875,PF3D7_0417700,1.1545206308364868,0.18096924
5511,PF3D7_1477100,1.1545201539993286,0.18078613
775,PF3D7_0407100,1.154520034790039,0.1807251
1921,PF3D7_0802000,1.15451979637146,0.18063354
4228,PF3D7_1319900,1.15451979637146,0.18063354
3389,PF3D7_1139700,1.1545194387435913,0.18048096
4493,PF3D7_1346600,1.154518961906433,0.18029785
720,PF3D7_0401300,1.1545186042785645,0.18014526
4961,PF3D7_1421800,1.1545186042785645,0.18014526
4915,PF3D7_1416800,1.154518485069275,0.18008423
4297,PF3D7_1326800,1.1545182466506958,0.17999268
1015,PF3D7_0506300,1.1545181274414062,0.17996216
788,PF3D7_0408400,1.1545178890228271,0.1798706
1923,PF3D7_0802200,1.1545178890228271,0.1798706
3830,PF3D7_1234300,1.154517412185669,0.17965698
719,PF3D7_0401200,1.1545172929763794,0.17962646
4733,PF3D7_1371800,1.1545171737670898,0.17956543
1272,PF3D7_0532500,1.1545170545578003,0.17953491
4600,PF3D7_1357600,1.1545169353485107,0.17947388
1182,PF3D7_0523100,1.1545169353485107,0.17947388
5165,PF3D7_1442500,1.1545168161392212,0.17941284
4180,PF3D7_1315100,1.1545168161392212,0.17941284
1910,PF3D7_0800900,1.1545166969299316,0.17938232
402,PF3D7_0216200,1.1545166969299316,0.17938232
1106,PF3D7_0515500,1.1545164585113525,0.17929077
5034,PF3D7_1429400,1.1545162200927734,0.17919922
3916,PF3D7_1243200,1.1545155048370361,0.17889404
1817,PF3D7_0723700,1.1545155048370361,0.17889404
4777,PF3D7_1403100,1.1545153856277466,0.17883301
5223,PF3D7_1448300,1.1545151472091675,0.17874146
104,PF3D7_0100700,1.1545151472091675,0.17874146
5268,PF3D7_1452800,1.1545151472091675,0.17874146
4000,PF3D7_1251600,1.1545146703720093,0.17855835
3759,PF3D7_1227000,1.1545145511627197,0.17849731
